5.57061,-2.44394,1.40683
6.90332,-2.07129,1.90621
7.15372,-1.79731,3.2248
6.66538,-2.55185,3.92701
6.947,-3.39614,3.48915
7.44924,-2.88052,3.3615
7.35997,-2.35508,3.96321
7.38187,-3.21781,4.23716
8.31326,-3.28567,3.94075
8.79519,-2.54171,4.46267
9.09253,-2.88902,5.39748
9.96465,-3.55022,5.79408
10.7939,-3.2852,6.15067
11.0796,-3.46657,6.81081
11.6978,-3.77011,7.05422
12.3448,-3.27989,7.4567
12.0872,-3.07967,8.33837
12.2875,-3.87304,8.71505
13.1625,-3.68534,8.56194
13.4303,-3.13419,9.46633
13.37,-3.95003,10.0602
14.09,-4.58272,10.0644
14.5554,-3.96275,10.5509
13.7818,-4.2047,11.3162
14.0965,-4.89637,11.1548
14.2228,-4.23347,11.3638
13.6362,-4.63331,11.3859
14.1943,-4.54838,10.9788
13.7504,-4.06619,11.2574
13.5004,-4.77431,11.2472
14.0143,-4.32318,10.9729
13.2809,-4.07149,11.5122
13.0738,-4.61715,10.9303
13.5931,-3.7476,9.96549
12.5517,-3.1978,10.6057
12.409,-4.43009,10.717
13.6808,-4.10744,10.4841
13.1018,-3.56548,11.3837
13.3119,-4.61734,11.4485
14.0953,-3.64181,11.4055
12.9816,-4.12669,11.8345
14.1096,-4.70529,11.3674
13.6709,-3.51385,11.7608
13.2528,-4.62409,11.678
14.135,-4.05645,11.37
13.434,-4.14424,12.1024
13.9018,-5.00311,12.1223
14.4415,-4.32238,12.3715
13.9743,-3.96112,12.7708
14.0351,-4.51255,12.8269
14.496,-4.30902,12.6088
14.0211,-4.02793,12.6197
14.099,-4.54032,12.555
14.5006,-4.06503,12.5215
13.9455,-3.7179,12.8717
14.1941,-4.39223,13.3302
14.9598,-3.63131,13.4341
14.1386,-3.68228,14.1455
14.7818,-4.37656,14.0169
15.1793,-3.46079,14.0226
14.6922,-3.36616,14.6303
15.1346,-3.97763,14.7724
15.7101,-3.53476,14.7127
15.4331,-3.15612,15.3455
15.6163,-3.74925,15.7766
16.3409,-3.38827,15.6968
16.0743,-3.00713,16.3662
16.2321,-3.68695,16.683
16.9788,-3.34945,16.6395
16.635,-3.03282,17.465
17.1705,-3.7211,17.7847
17.4048,-3.04881,17.8906
17.0684,-3.48422,18.3799
17.6184,-3.8488,18.1876
17.653,-3.30401,18.2841
17.3553,-3.49108,18.5798
17.8002,-3.85297,18.2461
17.6937,-3.12363,18.3412
